length, entropy, alexa_grams, word_grams, diff, class
13,2.873141,39.671543,53.939844,-14.268301,legit
4,2,4.064458,5.151523,-1.087065,legit
11,3.095795,39.666446,47.928194,-8.261747,legit
8,2.75,9.545683,13.132771,-3.587088,legit
15,3.189898,53.245988,69.350794,-16.104805,legit
9,2.947703,29.572231,28.487666,1.084565,legit
13,3.026987,46.570666,52.433366,-5.8627,legit
9,2.725481,11.921285,16.292038,-4.370752,legit
12,3.084963,60.864257,59.132841,1.731415,legit
12,3.251629,43.872439,58.298294,-14.425855,legit
13,3.392747,58.356797,56.749286,1.607511,legit
11,3.095795,42.00657,56.129923,-14.123353,legit
4,1.5,7.00914,8.739383,-1.730243,legit
10,3.321928,46.086829,42.751402,3.335427,legit
13,3.180833,39.11973,50.038853,-10.919123,legit
9,2.725481,39.388078,50.511944,-11.123866,legit
11,3.027169,36.715803,33.30466,3.411142,legit
10,3.321928,30.649782,40.120356,-9.470574,legit
7,2.235926,22.428321,29.029267,-6.600946,legit
12,2.855389,35.650647,41.061863,-5.411217,legit
7,2.521641,10.555543,18.780995,-8.225452,legit
19,3.616349,87.785281,84.041338,3.743944,legit
21,3.403989,88.652837,126.566362,-37.913525,legit
18,2.932999,78.998926,106.829488,-27.830562,legit
18,3.350209,74.740364,87.656474,-12.91611,legit
22,3.277613,129.681427,167.013096,-37.331669,legit
10,2.721928,35.185631,44.173726,-8.988094,legit
9,2.725481,14.339175,9.622935,4.71624,legit
9,2.947703,31.010873,29.464366,1.546507,legit
5,1.521928,10.060877,11.39168,-1.330804,legit
4,1.5,5.708713,7.046126,-1.337413,legit
9,2.947703,17.76346,21.510963,-3.747503,legit
5,1.921928,8.870834,13.143667,-4.272833,legit
7,2.521641,5.965051,7.948558,-1.983507,legit
10,2.721928,17.36978,22.583042,-5.213262,legit
4,2,4.307389,8.355331,-4.047942,legit
7,2.521641,11.747082,14.901116,-3.154034,legit
7,2.521641,8.13583,12.81167,-4.67584,legit
9,2.725481,24.372533,28.309263,-3.93673,legit
8,2.75,27.119076,34.066888,-6.947812,legit
24,3.371654,110.57102,136.988704,-26.417683,legit
21,3.784942,73.779601,85.017075,-11.237474,legit
12,2.855389,41.910546,50.2547,-8.344155,legit
13,3.392747,38.349398,50.895152,-12.545754,legit
8,2.5,14.694823,17.20445,-2.509627,legit
